Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,trainacc_0,testacc_0,traintime_0,testtime_0,trainacc_1,testacc_1,traintime_1,testtime_1,trainacc_2,testacc_2,traintime_2,testtime_2,trainacc_3,testacc_3,traintime_3,testtime_3,trainacc_4,testacc_4,traintime_4,testtime_4,trainacc_5,testacc_5,traintime_5,testtime_5,mean_trainacc,mean_testacc,mean_traintime,mean_testtime
RPA-SBLEST,"[3, 0, 0, 0, 0, 3]",RPA,,,,,SBLEST,3,0,0,0,0,3,0.664,0.73,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866,0.664,0.73,87.06004963,0.728499866
TLDUMMY-SBLEST,"[0, 0, 0, 0, 0, 3]",TLDUMMY,,,,,SBLEST,0,0,0,0,0,3,0.998666667,0.533333333,1,0.933333333,132.9321241,0.492348909,0.996,0.543333333,67.32328699,0.502758503,1,0.702222222,62.67123873,0.517570472,1,0.717777778,84.95831468,0.458836508,1,0.693333333,62.88812525,0.484981108,0.998666667,0.533333333,56.60953455,0.518649054,0.999111111,0.687222222,77.89710404,0.495857426
RPA-MEKT-PCA-LR,"[3, 0, 0, 0, 56, 0]",RPA,,,,MEKT-PCA-LR,,3,0,0,0,56,0,0.59,0.634444444,0.859333333,0.94,2.148504686,0.406905913,0.608,0.532222222,2.214291859,0.408139968,0.701333333,0.738888889,2.184908152,0.400756621,0.672,0.608888889,2.129008651,0.384251475,0.648666667,0.586666667,2.150835443,0.378326392,0.59,0.634444444,2.095346665,0.346992707,0.679888889,0.673518519,2.153815909,0.38756218
EA-TS-LR,"[1, 5, 0, 3, 0, 0]",EA,TS,,LR,,,1,5,0,3,0,0,0.788666667,0.683333333,0.811333333,0.586666667,0.247110009,0.211389995,0.978,0.754444444,0.251639605,0.205744457,0.934,0.652222222,0.243550634,0.204614258,0.932,0.716666667,0.23175683,0.202645826,0.602,0.642222222,0.23036027,0.198344851,0.788666667,0.683333333,0.252050257,0.206564283,0.841,0.672592593,0.242744601,0.204883945
RPA-MEKT-LR,"[3, 0, 0, 0, 36, 0]",RPA,,,,MEKT-LR,,3,0,0,0,36,0,0.588,0.635555556,0.861333333,0.941111111,2.252213717,0.391281581,0.605333333,0.53,2.254504752,0.399573708,0.698,0.734444444,2.190851355,0.397246242,0.671333333,0.61,2.238670611,0.39703145,0.648666667,0.584444444,2.129908633,0.369662714,0.588,0.635555556,2.200441384,0.329624581,0.678777778,0.672592593,2.211098409,0.380736713
RPA-MEKT-MIC-K-LR,"[3, 0, 0, 0, 40, 0]",RPA,,,,MEKT-MIC-K-LR,,3,0,0,0,40,0,0.588,0.635555556,0.861333333,0.941111111,2.233990431,0.396548653,0.605333333,0.53,2.185198522,0.382477689,0.698,0.734444444,2.570705843,0.408468986,0.671333333,0.61,2.18949492,0.370139384,0.648666667,0.584444444,2.1883358,0.363636255,0.588,0.635555556,2.143404794,0.350216174,0.678777778,0.672592593,2.251855052,0.37858119
RPA-MEKT-ANOVA-K-LR,"[3, 0, 0, 0, 48, 0]",RPA,,,,MEKT-ANOVA-K-LR,,3,0,0,0,48,0,0.588,0.635555556,0.861333333,0.941111111,2.175725055,0.396136737,0.605333333,0.53,2.19515996,0.396351743,0.698,0.734444444,2.162352037,0.393763661,0.671333333,0.61,2.133292174,0.396899772,0.648666667,0.584444444,2.094852209,0.377693272,0.588,0.635555556,2.06275661,0.330924129,0.678777778,0.672592593,2.137356341,0.381961552
RPA-MEKT-RFE-LR,"[3, 0, 0, 0, 64, 0]",RPA,,,,MEKT-RFE-LR,,3,0,0,0,64,0,0.588,0.635555556,0.861333333,0.941111111,2.188922715,0.388467264,0.605333333,0.53,2.234642887,0.3915205,0.698,0.734444444,2.201884055,0.398443556,0.671333333,0.61,2.108539057,0.371800113,0.648666667,0.584444444,2.109337854,0.367856145,0.588,0.635555556,2.090964627,0.333642602,0.678777778,0.672592593,2.155715199,0.375288363
RPA-MEKT-RFECV-LDA,"[3, 0, 0, 0, 67, 0]",RPA,,,,MEKT-RFECV-LDA,,3,0,0,0,67,0,0.596666667,0.631111111,0.851333333,0.923333333,2.420637178,0.368391895,0.583333333,0.543333333,2.384097815,0.381961513,0.706666667,0.721111111,2.416213298,0.367532229,0.656,0.62,2.360749722,0.360909224,0.642,0.592222222,2.320479894,0.33670187,0.596666667,0.631111111,2.283525276,0.341485214,0.672666667,0.671851852,2.364283864,0.359496991
RPA-MEKT-RFECV-LR,"[3, 0, 0, 0, 68, 0]",RPA,,,,MEKT-RFECV-LR,,3,0,0,0,68,0,0.592666667,0.638888889,0.859333333,0.932222222,2.411909771,0.362844372,0.590666667,0.53,2.430342174,0.364703774,0.703333333,0.723333333,2.370879912,0.376961946,0.654666667,0.615555556,2.386981535,0.377250075,0.645333333,0.588888889,2.337223673,0.340613246,0.592666667,0.638888889,2.311857748,0.321355677,0.674333333,0.671481481,2.374865802,0.357288182
RPA-MEKT,"[3, 0, 0, 0, 34, 0]",RPA,,,,MEKT,,3,0,0,0,34,0,0.599333333,0.635555556,0.858666667,0.933333333,1.871493268,0.315076041,0.582666667,0.53,2.002489519,0.402625704,0.7,0.734444444,1.826815152,0.312894988,0.673333333,0.603333333,2.155388975,0.393476748,0.651333333,0.591111111,2.236108184,0.369348383,0.599333333,0.635555556,2.015888071,0.311318636,0.677555556,0.671296296,2.018030528,0.350790083
RA-TS-LR,"[2, 5, 0, 3, 0, 0]",RA,TS,,LR,,,2,5,0,3,0,0,0.780666667,0.702222222,0.826666667,0.56,0.240275598,0.203389478,0.974,0.756666667,0.240011096,0.207259703,0.936666667,0.651111111,0.251662588,0.207321692,0.946,0.712222222,0.24654026,0.20967226,0.600666667,0.641111111,0.239483809,0.199300027,0.780666667,0.702222222,0.244279575,0.181503844,0.844111111,0.670555556,0.243708821,0.201407834
RPA-MEKT-PCA-LDA,"[3, 0, 0, 0, 55, 0]",RPA,,,,MEKT-PCA-LDA,,3,0,0,0,55,0,0.595333333,0.63,0.850666667,0.934444444,2.184477043,0.395719576,0.560666667,0.53,2.197151947,0.399705982,0.695333333,0.741111111,2.199559593,0.401555896,0.673333333,0.612222222,2.128119373,0.390874815,0.650666667,0.573333333,2.105395436,0.371438432,0.595333333,0.63,2.122337317,0.359012079,0.671,0.670185185,2.156173452,0.386384463
TLDUMMY-TS-LR,"[0, 5, 0, 3, 0, 0]",TLDUMMY,TS,,LR,,,0,5,0,3,0,0,0.966,0.692222222,0.983333333,0.566666667,0.251685286,0.204575276,0.999333333,0.758888889,0.246849799,0.206883216,0.992666667,0.653333333,0.238488674,0.20225513,0.993333333,0.708888889,0.235265875,0.229246879,0.998666667,0.632222222,0.232913327,0.204666257,0.966,0.692222222,0.25066061,0.210748577,0.988888889,0.668703704,0.242643929,0.209729222
TLDUMMY-TS-PCA-LDA,"[0, 5, 5, 2, 0, 0]",TLDUMMY,TS,PCA,LDA,,,0,5,5,2,0,0,0.781333333,0.667777778,0.837333333,0.546666667,0.242921209,0.203309584,0.950666667,0.726666667,0.25631268,0.193926311,0.956666667,0.713333333,0.246026587,0.208579731,0.908666667,0.7,0.241138268,0.204639125,0.858666667,0.654444444,0.241194844,0.213875246,0.781333333,0.667777778,0.277949023,0.217046046,0.882222222,0.668148148,0.250923769,0.206896007
RPA-MEKT-LDA,"[3, 0, 0, 0, 35, 0]",RPA,,,,MEKT-LDA,,3,0,0,0,35,0,0.603333333,0.63,0.848,0.926666667,2.304211044,0.371148086,0.564666667,0.527777778,2.245684958,0.403941989,0.692,0.735555556,2.259881926,0.386906433,0.674666667,0.611111111,2.26657033,0.389732361,0.651333333,0.576666667,2.193695498,0.368143296,0.603333333,0.63,2.132332802,0.367513204,0.672333333,0.667962963,2.233729426,0.381230895
RPA-MEKT-MIC-K-LDA,"[3, 0, 0, 0, 39, 0]",RPA,,,,MEKT-MIC-K-LDA,,3,0,0,0,39,0,0.603333333,0.63,0.848,0.926666667,2.2029181,0.390065289,0.564666667,0.527777778,2.248373294,0.38294518,0.692,0.735555556,2.783873534,0.48119607,0.674666667,0.611111111,2.175539827,0.385631585,0.651333333,0.576666667,2.127878952,0.358021069,0.603333333,0.63,2.215479779,0.395544195,0.672333333,0.667962963,2.292343915,0.398900565
RPA-MEKT-ANOVA-K-LDA,"[3, 0, 0, 0, 47, 0]",RPA,,,,MEKT-ANOVA-K-LDA,,3,0,0,0,47,0,0.603333333,0.63,0.848,0.926666667,2.221382499,0.381291842,0.564666667,0.527777778,2.221938348,0.39388001,0.692,0.735555556,2.246271777,0.387556696,0.674666667,0.611111111,2.135152841,0.400015831,0.651333333,0.576666667,2.111068511,0.361243176,0.603333333,0.63,2.108824086,0.326810026,0.672333333,0.667962963,2.174106344,0.37513293
RPA-MEKT-RFE-LDA,"[3, 0, 0, 0, 63, 0]",RPA,,,,MEKT-RFE-LDA,,3,0,0,0,63,0,0.603333333,0.63,0.848,0.926666667,2.213534117,0.398853898,0.564666667,0.527777778,2.200029492,0.42470119,0.692,0.735555556,2.156005216,0.394678783,0.674666667,0.611111111,2.155957699,0.382965064,0.651333333,0.576666667,2.098097491,0.367402029,0.603333333,0.63,2.054435205,0.342335725,0.672333333,0.667962963,2.146343203,0.385156115
EA-SBLEST,"[1, 0, 0, 0, 0, 3]",EA,,,,,SBLEST,1,0,0,0,0,3,0.909333333,0.51,0.986,0.918888889,132.235746,0.609935331,0.792,0.523333333,63.88802805,0.567726374,0.982666667,0.685555556,62.63143389,0.587496328,0.954,0.694444444,101.5965434,0.518454242,0.997333333,0.673333333,62.66607616,0.556355047,0.909333333,0.51,58.16082811,0.596789265,0.936888889,0.667592593,80.1964426,0.572792765
RA-ABC-FGMDM,"[2, 0, 0, 0, 4, 0]",RA,,,,ABC-FGMDM,,2,0,0,0,4,0,0.619333333,0.618888889,0.915333333,0.551111111,2.634648585,0.383659792,0.988,0.755555556,2.001777935,0.264554191,0.843333333,0.672222222,0.784826398,0.199564552,0.977333333,0.703333333,0.68592093,0.208194971,0.977333333,0.703333333,0.68592093,0.208194971,0.619333333,0.618888889,2.191767645,0.274926877,0.886777778,0.667407407,1.49747707,0.256515892
EA-TS-MLP,"[1, 5, 0, 11, 0, 0]",EA,TS,,MLP,,,1,5,0,11,0,0,0.921333333,0.657777778,0.83,0.576666667,0.989960599,0.231720734,0.998666667,0.758888889,0.90439322,0.217362118,0.934666667,0.658888889,0.930721784,0.209707904,0.968666667,0.695555556,0.973643804,0.21536572,0.602,0.652222222,0.903340793,0.211446929,0.921333333,0.657777778,1.029641414,0.226620674,0.875888889,0.666666667,0.955283602,0.218704013
RA-FGMDM-ETC,"[2, 4, 0, 7, 0, 0]",RA,FGMDM,,ETC,,,2,4,0,7,0,0,0.758,0.661111111,0.914,0.57,0.360888696,0.26537447,0.986666667,0.761111111,0.348646641,0.253893542,0.866,0.668888889,0.342753148,0.242136788,0.982666667,0.698888889,0.329451323,0.26146462,0.609333333,0.633333333,0.314273167,0.25031333,0.758,0.661111111,0.339402914,0.233289599,0.852777778,0.665555556,0.339235981,0.251078725
RPA-MEKT-PCA-MLP,"[3, 0, 0, 0, 58, 0]",RPA,,,,MEKT-PCA-MLP,,3,0,0,0,58,0,0.586666667,0.653333333,0.82,0.894444444,2.35200758,0.369800496,0.578,0.531111111,2.337410617,0.369556904,0.701333333,0.743333333,2.313678145,0.367641449,0.664,0.597777778,2.258422351,0.366982579,0.632666667,0.57,2.267087007,0.346550536,0.586666667,0.653333333,2.280514574,0.333913255,0.663777778,0.665,2.301520046,0.359074203
RA-SBLEST,"[2, 0, 0, 0, 0, 3]",RA,,,,,SBLEST,2,0,0,0,0,3,0.928,0.507777778,0.998,0.921111111,132.4440851,0.604856849,0.912,0.522222222,62.79715576,0.571678257,0.992666667,0.681111111,61.68232749,0.583720016,0.972,0.69,102.8100895,0.535664964,0.996666667,0.667777778,62.69147575,0.552181268,0.928,0.507777778,57.82463291,0.613314724,0.966555556,0.665,80.04162774,0.57690268
RA-TS-MLP,"[2, 5, 0, 11, 0, 0]",RA,TS,,MLP,,,2,5,0,11,0,0,0.925333333,0.661111111,0.87,0.576666667,1.009932089,0.222137022,1,0.743333333,0.912705541,0.22983253,0.920666667,0.667777778,0.912377119,0.226482677,0.972666667,0.691111111,0.971096516,0.223983955,0.601333333,0.647777778,0.895628357,0.21067028,0.925333333,0.661111111,0.993605852,0.207838917,0.881666667,0.66462963,0.949224246,0.220157564
TLDUMMY-TS-PCA-LR,"[0, 5, 5, 3, 0, 0]",TLDUMMY,TS,PCA,LR,,,0,5,5,3,0,0,0.783333333,0.657777778,0.838,0.548888889,0.248061681,0.204140329,0.954,0.744444444,0.253013444,0.195468593,0.961333333,0.677777778,0.241664386,0.202984309,0.914666667,0.69,0.246991825,0.204435325,0.858,0.667777778,0.232549238,0.210736108,0.783333333,0.657777778,0.261223388,0.22103622,0.884888889,0.664444444,0.24725066,0.206466814
RA-FGMDM-MLP,"[2, 4, 0, 11, 0, 0]",RA,FGMDM,,MLP,,,2,4,0,11,0,0,0.743333333,0.662222222,0.91,0.568888889,0.593099308,0.263635612,0.988,0.754444444,0.5147717,0.236589932,0.860666667,0.665555556,0.666818094,0.263812041,0.976,0.708888889,0.575096464,0.249273276,0.619333333,0.625555556,0.575402856,0.239723444,0.743333333,0.662222222,0.607320952,0.233498764,0.849555556,0.664259259,0.588751562,0.247755512
EA-TS-PCA-LR,"[1, 5, 5, 3, 0, 0]",EA,TS,PCA,LR,,,1,5,5,3,0,0,0.722,0.671111111,0.763333333,0.567777778,0.240194201,0.20877409,0.942666667,0.76,0.245661211,0.203387761,0.913333333,0.658888889,0.239831591,0.224156427,0.865333333,0.693333333,0.234407091,0.201586103,0.637333333,0.633333333,0.223739219,0.200690675,0.722,0.671111111,0.255235505,0.22317338,0.807333333,0.664074074,0.239844803,0.210294739
RA-FGMDM-SVM,"[2, 4, 0, 1, 0, 0]",RA,FGMDM,,SVM,,,2,4,0,1,0,0,0.738666667,0.665555556,0.914666667,0.558888889,0.802343631,0.266313672,0.986666667,0.758888889,0.807131362,0.278766251,0.853333333,0.667777778,0.883669591,0.266520548,0.978,0.705555556,0.721289158,0.209673882,0.620666667,0.625555556,0.738680196,0.245143199,0.738666667,0.665555556,0.806010103,0.249283695,0.848666667,0.663703704,0.79318734,0.252616874
EA-FGMDM-LR,"[1, 4, 0, 3, 0, 0]",EA,FGMDM,,LR,,,1,4,0,3,0,0,0.748666667,0.656666667,0.910666667,0.567777778,0.245168281,0.249486613,0.988666667,0.75,0.251520324,0.229123712,0.84,0.664444444,0.242001081,0.257804775,0.970666667,0.702222222,0.234934735,0.252152896,0.618,0.64,0.239122295,0.246687341,0.748666667,0.656666667,0.248091769,0.238336563,0.846111111,0.663518519,0.243473081,0.24559865
RA-FGMDM-LDA,"[2, 4, 0, 2, 0, 0]",RA,FGMDM,,LDA,,,2,4,0,2,0,0,0.740666667,0.66,0.911333333,0.561111111,0.25121336,0.254159832,0.986666667,0.754444444,0.25236764,0.238642216,0.852,0.667777778,0.255680513,0.274970007,0.977333333,0.71,0.222434735,0.248284054,0.620666667,0.625555556,0.226266909,0.242533302,0.740666667,0.66,0.274684548,0.312732935,0.848111111,0.663148148,0.247107951,0.261887058
RPA-MEKT-RFECV-MLP,"[3, 0, 0, 0, 70, 0]",RPA,,,,MEKT-RFECV-MLP,,3,0,0,0,70,0,0.587333333,0.625555556,0.839333333,0.888888889,2.716002893,0.37587862,0.595333333,0.545555556,2.55532093,0.392005801,0.698666667,0.734444444,2.538208437,0.375738049,0.656666667,0.6,2.49029603,0.354251361,0.641333333,0.584444444,2.45968399,0.370553064,0.587333333,0.625555556,2.405146241,0.341576076,0.669777778,0.663148148,2.527443087,0.368333828
EA-FGMDM-LDA,"[1, 4, 0, 2, 0, 0]",EA,FGMDM,,LDA,,,1,4,0,2,0,0,0.748666667,0.654444444,0.910666667,0.566666667,0.258600903,0.244692278,0.988666667,0.75,0.241410112,0.251302314,0.844666667,0.668888889,0.244732141,0.245874977,0.970666667,0.7,0.234829831,0.236461377,0.618666667,0.637777778,0.234765267,0.24512167,0.748666667,0.654444444,0.243110394,0.233039331,0.847,0.662962963,0.242908108,0.242748658
EA-FGMDM-MLP,"[1, 4, 0, 11, 0, 0]",EA,FGMDM,,MLP,,,1,4,0,11,0,0,0.750666667,0.651111111,0.905333333,0.566666667,0.579684925,0.265297604,0.988,0.751111111,0.53687911,0.23352201,0.854,0.667777778,0.558277178,0.26527493,0.97,0.701111111,0.61721437,0.263251019,0.618666667,0.64,0.561114669,0.256920147,0.750666667,0.651111111,0.61264925,0.24875071,0.847777778,0.662962963,0.577636584,0.255502737
RA-TS-LDA,"[2, 5, 0, 2, 0, 0]",RA,TS,,LDA,,,2,5,0,2,0,0,0.739333333,0.662222222,0.912,0.564444444,0.332443571,0.195255423,0.987333333,0.753333333,0.331207848,0.200917864,0.844666667,0.672222222,0.34162612,0.205681825,0.977333333,0.703333333,0.335009766,0.211450601,0.618666667,0.621111111,0.332389259,0.217303753,0.739333333,0.662222222,0.314722323,0.195149446,0.846555556,0.662777778,0.331233148,0.204293152
RA-FGMDM-LR,"[2, 4, 0, 3, 0, 0]",RA,FGMDM,,LR,,,2,4,0,3,0,0,0.74,0.661111111,0.91,0.561111111,0.239874697,0.248094678,0.986666667,0.754444444,0.241286373,0.265485358,0.850666667,0.668888889,0.267049122,0.263938141,0.977333333,0.705555556,0.230907273,0.235691357,0.62,0.625555556,0.224193025,0.244624209,0.74,0.661111111,0.262072635,0.248751235,0.847444444,0.662777778,0.244230521,0.251097496
RPA-ABC-TS-PCA-LDA,"[3, 0, 0, 0, 15, 0]",RPA,,,,ABC-TS-PCA-LDA,,3,0,0,0,15,0,0.619333333,0.618888889,0.836666667,0.92,0.9643471,0.182924509,0.616,0.525555556,0.604047918,0.181765127,0.683333333,0.681111111,0.7616642,0.162938857,0.664666667,0.62,0.893248248,0.171353936,0.646666667,0.61,0.551013327,0.193487573,0.619333333,0.618888889,0.64200027,0.199539328,0.677777778,0.662592593,0.736053511,0.182001555
RA-TS-ANOVA-P-LR,"[2, 5, 2, 3, 0, 0]",RA,TS,ANOVA-P,LR,,,2,5,2,3,0,0,0.716666667,0.632222222,0.835333333,0.573333333,0.251035547,0.207872343,0.934,0.758888889,0.251557136,0.20560925,0.909333333,0.672222222,0.246807456,0.18746078,0.882,0.683333333,0.227645874,0.18601954,0.621333333,0.652222222,0.238689184,0.197470617,0.716666667,0.632222222,0.275995588,0.24642055,0.816444444,0.662037037,0.248621798,0.20514218
EA-FGMDM-KNN,"[1, 4, 0, 4, 0, 0]",EA,FGMDM,,KNN,,,1,4,0,4,0,0,0.759333333,0.65,0.907333333,0.566666667,0.248164797,0.266894341,0.985333333,0.753333333,0.248868227,0.253616452,0.866666667,0.657777778,0.24157331,0.244899702,0.972666667,0.708888889,0.232419395,0.239814472,0.614,0.635555556,0.226253557,0.259429145,0.759333333,0.65,0.251074982,0.259669566,0.850888889,0.662037037,0.241392378,0.254053946
RA-FGMDM-KNN,"[2, 4, 0, 4, 0, 0]",RA,FGMDM,,KNN,,,2,4,0,4,0,0,0.751333333,0.657777778,0.910666667,0.564444444,0.250682473,0.260084724,0.985333333,0.748888889,0.259361792,0.236366439,0.870666667,0.661111111,0.27531836,0.280467582,0.973333333,0.708888889,0.24133954,0.256858301,0.617333333,0.631111111,0.225078201,0.245776105,0.751333333,0.657777778,0.246915865,0.241149092,0.851444444,0.662037037,0.249782705,0.253450374
RPA-MEKT-PCA-SVM,"[3, 0, 0, 0, 57, 0]",RPA,,,,MEKT-PCA-SVM,,3,0,0,0,57,0,0.588666667,0.648888889,0.866666667,0.905555556,2.177337909,0.395594668,0.632,0.51,2.244460154,0.389168477,0.728,0.741111111,2.213614011,0.426361752,0.702,0.593333333,2.11342957,0.386581111,0.667333333,0.573333333,2.096529794,0.364561892,0.588666667,0.648888889,2.120233703,0.358681893,0.697444444,0.662037037,2.16093419,0.386824965
EA-TS-LDA,"[1, 5, 0, 2, 0, 0]",EA,TS,,LDA,,,1,5,0,2,0,0,0.748,0.655555556,0.91,0.562222222,0.329359317,0.210283852,0.988,0.747777778,0.344191742,0.209066653,0.833333333,0.664444444,0.31928575,0.187405229,0.97,0.702222222,0.309019494,0.215486741,0.618,0.637777778,0.30683248,0.20043807,0.748,0.655555556,0.347900701,0.215281558,0.844555556,0.661666667,0.326098247,0.206327017
RA-FGMDM-GNB,"[2, 4, 0, 10, 0, 0]",RA,FGMDM,,GNB,,,2,4,0,10,0,0,0.742,0.66,0.910666667,0.571111111,0.250621295,0.246205449,0.988,0.754444444,0.251720643,0.227412033,0.882,0.656666667,0.279872084,0.283281374,0.979333333,0.698888889,0.240155745,0.22357316,0.619333333,0.628888889,0.231220484,0.246313858,0.742,0.66,0.244121122,0.22987504,0.853555556,0.661666667,0.249618562,0.242776819
EA-FGMDM-SVM,"[1, 4, 0, 1, 0, 0]",EA,FGMDM,,SVM,,,1,4,0,1,0,0,0.747333333,0.654444444,0.911333333,0.563333333,0.861359644,0.260837483,0.987333333,0.746666667,0.765921903,0.256703258,0.846666667,0.672222222,0.773966742,0.252831483,0.972,0.7,0.850626588,0.253099227,0.62,0.632222222,0.760076475,0.260083055,0.747333333,0.654444444,0.803306746,0.252139544,0.847444444,0.661481481,0.802543016,0.255949008
RA-TS-PCA-LR,"[2, 5, 5, 3, 0, 0]",RA,TS,PCA,LR,,,2,5,5,3,0,0,0.726666667,0.671111111,0.768666667,0.55,0.24940002,0.228156638,0.934,0.757777778,0.250093317,0.206583405,0.913333333,0.677777778,0.243522429,0.198538542,0.883333333,0.687777778,0.241872573,0.192970467,0.637333333,0.623333333,0.22936964,0.2070544,0.726666667,0.671111111,0.27798245,0.224494553,0.810555556,0.661296296,0.248706738,0.209633001
RPA-MEKT-RFECV-SVM,"[3, 0, 0, 0, 69, 0]",RPA,,,,MEKT-RFECV-SVM,,3,0,0,0,69,0,0.593333333,0.641111111,0.866666667,0.912222222,2.505302286,0.37575264,0.616666667,0.527777778,2.411335754,0.380289626,0.726,0.724444444,2.403958106,0.373862576,0.688666667,0.591111111,2.365035868,0.37623136,0.648,0.567777778,2.313783956,0.346259403,0.593333333,0.641111111,2.442535329,0.434411526,0.689888889,0.660740741,2.406991883,0.381134522
EA-ABC-FGMDM,"[1, 0, 0, 0, 4, 0]",EA,,,,ABC-FGMDM,,1,0,0,0,4,0,0.616666667,0.64,0.904,0.57,2.025031328,0.275227475,0.988,0.75,1.944119573,0.273716354,0.822666667,0.661111111,0.776017427,0.193453217,0.97,0.702222222,0.66973753,0.204033446,0.616666667,0.64,2.574359035,0.307396388,0.616666667,0.64,2.574359035,0.307396388,0.819666667,0.660555556,1.760603988,0.260203878
RPA-MEKT-MIC-P-LR,"[3, 0, 0, 0, 44, 0]",RPA,,,,MEKT-MIC-P-LR,,3,0,0,0,44,0,0.573333333,0.632222222,0.833333333,0.921111111,2.188485289,0.394041419,0.572,0.527777778,2.196292448,0.370193529,0.670666667,0.721111111,2.471439075,0.406084204,0.627333333,0.566666667,2.153790927,0.375357103,0.616666667,0.593333333,2.154371548,0.373829985,0.573333333,0.632222222,2.09787221,0.342165303,0.648888889,0.66037037,2.210375249,0.376945257
RA-FGMDM-RFC,"[2, 4, 0, 6, 0, 0]",RA,FGMDM,,RFC,,,2,4,0,6,0,0,0.563333333,0.658888889,0.906666667,0.571111111,0.402896047,0.265888381,0.986,0.752222222,0.386384249,0.239585829,0.794,0.657777778,0.428635001,0.276421523,0.959333333,0.686666667,0.383515263,0.253762794,0.508,0.634444444,0.391193295,0.266232514,0.563333333,0.658888889,0.375191855,0.23633666,0.786222222,0.660185185,0.394635952,0.256371284
EA-FGMDM-ETC,"[1, 4, 0, 7, 0, 0]",EA,FGMDM,,ETC,,,1,4,0,7,0,0,0.756,0.656666667,0.911333333,0.558888889,0.342033458,0.258942604,0.984666667,0.75,0.340294838,0.260305047,0.858666667,0.657777778,0.343133974,0.243279433,0.974,0.696666667,0.327620935,0.243674469,0.612666667,0.64,0.308064294,0.235436606,0.756,0.656666667,0.34925468,0.239007545,0.849555556,0.66,0.33506703,0.246774284
EA-FGMDM-GNB,"[1, 4, 0, 10, 0, 0]",EA,FGMDM,,GNB,,,1,4,0,10,0,0,0.749333333,0.646666667,0.902,0.566666667,0.239178252,0.242654371,0.987333333,0.75,0.244103646,0.237942052,0.878,0.652222222,0.240294766,0.243738794,0.974666667,0.704444444,0.23106966,0.24022007,0.618666667,0.638888889,0.218142319,0.222621322,0.749333333,0.646666667,0.253431439,0.23886981,0.851666667,0.659814815,0.237703347,0.237674403
RA-FGMDM-GBC,"[2, 4, 0, 9, 0, 0]",RA,FGMDM,,GBC,,,2,4,0,9,0,0,0.628666667,0.656666667,0.894666667,0.567777778,0.31969099,0.226620436,0.980666667,0.75,0.333640504,0.25379312,0.768666667,0.654444444,0.365991116,0.270331454,0.979333333,0.696666667,0.297980165,0.240312195,0.392,0.632222222,0.309459424,0.248443031,0.628666667,0.656666667,0.302262425,0.230114341,0.774,0.65962963,0.321504104,0.244935763
RPA-MEKT-MIC-P-MLP,"[3, 0, 0, 0, 46, 0]",RPA,,,,MEKT-MIC-P-MLP,,3,0,0,0,46,0,0.560666667,0.632222222,0.832,0.904444444,2.414391947,0.379620385,0.567333333,0.525555556,2.375458813,0.37970891,0.681333333,0.718888889,2.478544307,0.406860065,0.618666667,0.574444444,2.332548761,0.356096196,0.612,0.6,2.285974336,0.367773199,0.560666667,0.632222222,2.260215807,0.312136245,0.645333333,0.659259259,2.357855662,0.3670325
TLDUMMY-ABC-TS-PCA-LDA,"[0, 0, 0, 0, 15, 0]",TLDUMMY,,,,ABC-TS-PCA-LDA,,0,0,0,0,15,0,0.782666667,0.668888889,0.838,0.547777778,0.7712883,0.161834431,0.948,0.704444444,0.807562017,0.172172785,0.955333333,0.675555556,0.969690394,0.198445368,0.903333333,0.702222222,0.749981594,0.147293115,0.859333333,0.654444444,0.930450988,0.203173161,0.782666667,0.668888889,0.762379384,0.177045751,0.881111111,0.658888889,0.831892113,0.176660768
RPA-MEKT-LASSO-LDA,"[3, 0, 0, 0, 59, 0]",RPA,,,,MEKT-LASSO-LDA,,3,0,0,0,59,0,0.603333333,0.628888889,0.838,0.917777778,2.185754633,0.390371466,0.602666667,0.527777778,2.182594609,0.400280857,0.687333333,0.714444444,2.173566246,0.394233108,0.654,0.601111111,2.101501703,0.372671843,0.622666667,0.563333333,2.07275846,0.373288417,0.603333333,0.628888889,2.103349614,0.347143865,0.668,0.658888889,2.136587544,0.379664926
RPA-MEKT-LASSO-LR,"[3, 0, 0, 0, 60, 0]",RPA,,,,MEKT-LASSO-LR,,3,0,0,0,60,0,0.595333333,0.631111111,0.834666667,0.921111111,2.220480204,0.398256326,0.596,0.522222222,2.213711381,0.405670285,0.686666667,0.718888889,2.143740416,0.387179303,0.648666667,0.59,2.138452196,0.37340498,0.622,0.563333333,2.088172293,0.360332608,0.595333333,0.631111111,2.055740023,0.331381845,0.663888889,0.657777778,2.143382752,0.376037558
